id	text	category	priority	website	logo
7	24seven	Frame manufacturer	10	http://www.leisurelakesbikes.com/bikes/bmx-bikes/b/24seven	
1125	3G	Frame manufacturer	10	http://www.3gbikes.com/	
375	3T	Manufacturer	10		
374	3rd Eye	Manufacturer	10		
1112	3rensho	Frame manufacturer	10		
376	45North	Manufacturer	10		
377	4ZA	Manufacturer	10		
1274	6KU	Frame manufacturer	10	http://6kubikes.com	https://files.bikeindex.org/uploads/Ma/1274/6kubikescom.png
1113	9 zero 7	Frame manufacturer	10	https://www.facebook.com/9Zero7Bikes	
378	A-Class	Manufacturer	10		
8	A-bike	Frame manufacturer	10	http://www.a-bike.co.uk/	
1212	A2B e-bikes	Frame manufacturer	10	http://www.wearea2b.com/us/	
380	ABI	Manufacturer	10		
384	ACS	Manufacturer	10		
1255	AGang	Frame manufacturer	10	http://www.agang.eu	
24	ALAN	Frame manufacturer	10	http://www.alanbike.it/	
29	AMF	Frame manufacturer	10		
1268	AXA	Manufacturer	10	http://www.axa-stenman.com/en/bicycle-components/locks/frame-locks/defender/	
379	Aardvark	Manufacturer	10		
9	Abici	Frame manufacturer	10	http://www.abici-italia.it/en/index.html	
107	Abus	Manufacturer	10	http://www.abus.com/eng/Mobile-Security/Bike-safety-and-security/Locks	
382	Accelerade	Manufacturer	10		
10	Accell	Frame manufacturer	10	http://www.accell-group.com/uk/accell-group.asp	
1042	Access	Frame manufacturer	10	https://www.performancebike.com/	
383	Acros	Manufacturer	10		
1293	Acstar	Frame manufacturer	10	http://www.acstar.cz/	
1258	Adams (Trail a bike)	Frame manufacturer	10	http://www.trail-a-bike.com/	
77	Adolphe Clément	Frame manufacturer	10		
385	Adventure Medical Kits	Manufacturer	10		
1260	Aegis	Frame manufacturer	10	http://www.aegisbicycles.com/home.html	
1002	Aerofix Cycles	Frame manufacturer	10	http://www.aerofixcycles.com/	
1199	Affinity Cycles	Frame manufacturer	10	http://affinitycycles.com/	
386	AheadSet	Manufacturer	10		
1133	Airborne	Frame manufacturer	10	http://www.airbornebicycles.com/	
23	Aist Bicycles	Frame manufacturer	10	http://aist-bike.com/	
387	Aladdin	Manufacturer	10		
25	Alcyon	Frame manufacturer	10		
388	Alex	Manufacturer	10		
214	Alexander Leutner & Co.	Frame manufacturer	10		
1013	Alien Bikes	Frame manufacturer	10	http://alienbikes.com/	
389	Alienation	Manufacturer	10		
390	Alite Designs	Manufacturer	10		
371	All City	Frame manufacturer	100	http://allcitycycles.com	https://files.bikeindex.org/uploads/Ma/371/all-city.png
26	Alldays & Onions	Frame manufacturer	10		
1257	Alliance	Frame manufacturer	10	http://alliancebicycles.com/	
1366	Alton	Frame manufacturer	10	http://altonus.com/	
27	American Bicycle Company	Frame manufacturer	10		
391	American Classic	Manufacturer	10		
28	American Machine and Foundry	Frame manufacturer	10		
31	American Star Bicycle	Frame manufacturer	10		
1355	Amoeba	Frame manufacturer	10	http://www.amoebaparts.com/	
392	And	Manufacturer	10		
393	Andiamo	Manufacturer	10		
394	Answer BMX	Manufacturer	10		
1099	Apollo	Frame manufacturer	10	http://www.apollobikes.com/	
396	Aqua Sphere	Manufacturer	10		
397	Aquamira	Manufacturer	10		
398	Arai	Manufacturer	10		
1379	Ares	Frame manufacturer	10	http://www.aresbikes.com/	
32	Argon 18	Frame manufacturer	10	http://www.argon18bike.com/velo.html	
1081	Asama	Frame manufacturer	10	http://www.asamabicycles.com/	
994	Asda	Frame manufacturer	10	http://direct.asda.com/Bikes/AD080202,default,sc.html	
399	Assos	Manufacturer	10		
17	Atala	Frame manufacturer	10		
400	Atomlab	Frame manufacturer	10	http://www.atomlab.com/	
33	Author	Frame manufacturer	10	http://www.author.eu/	
1126	Avalon	Frame manufacturer	10	http://www.walmart.com/	
34	Avanti	Frame manufacturer	10	http://www.avantibikes.com/nz/	
1059	Aventón	Frame manufacturer	10	http://aventonbikes.com/	
401	Avid	Manufacturer	10		
402	Axiom	Manufacturer	10		
403	Axle Release	Manufacturer	10		
1156	Azonic	Frame manufacturer	10	http://www.oneal.com/index.php/home/azonic-prime	
1120	Azor	Frame manufacturer	10	http://www.azor.nl/	
404	Aztec	Manufacturer	10		
1101	Azzuri	Frame manufacturer	10	http://www.azzurribikes.com/	
410	BCA	Manufacturer	10		
36	BH Bikes (Beistegui Hermanos)	Frame manufacturer	10	http://bhbikes-us.com	
359	BMC	Frame manufacturer	10	http://www.bmc-racing.com	https://files.bikeindex.org/uploads/Ma/359/wwwbmcracingcom.png
424	BOB	Manufacturer	10	http://www.bobgear.com/bike-trailers	
429	BONT	Manufacturer	10		
431	BOX	Manufacturer	10		
437	BSD	Manufacturer	10		
1015	BULLITT	Frame manufacturer	10	http://www.larryvsharry.com/english/	
989	Bacchetta	Frame manufacturer	10	http://www.bacchettabikes.com/	
405	Backpacker's Pantry	Manufacturer	10		
1025	Backward Circle	Frame manufacturer	10	http://www.backwardcircle.com/	
406	Bahco	Manufacturer	10		
958	Bailey	Frame manufacturer	10	http://www.bailey-bikes.com	
407	Baladeo	Manufacturer	10		
1307	Bamboo Cycles	Frame manufacturer	10	http://bamboocycles.com/	
408	Banjo Brothers	Manufacturer	10		
1066	Banshee bikes	Frame manufacturer	10	http://www.bansheebikes.com	https://files.bikeindex.org/uploads/Ma/1066/wwwbansheebikescom.png
1362	Bantam (Bantam Bicycle works)	Frame manufacturer	10	http://www.bantambicycles.com/	
409	Bar Mitts	Manufacturer	10		
1134	Barracuda	Frame manufacturer	10	http://www.barracudabikes.co.uk/	
35	Basso	Frame manufacturer	10	http://www.bassobikes.com/	
18	Batavus	Frame manufacturer	10	http://www.batavus.com/	
1223	Bazooka	Frame manufacturer	10	http://www.bazookasports.com/	
1044	BeOne	Frame manufacturer	10	http://www.beone-bikes.com/	
1024	Beater Bikes	Frame manufacturer	10	http://beaterbikes.net/	
1235	Bell	Manufacturer	10		
411	Bellwether	Manufacturer	10		
1110	Benotto	Frame manufacturer	10		
1031	Bergamont	Frame manufacturer	10	http://www.bergamont.de/	
1383	Bertoni	Frame manufacturer	10		
412	Bertucci	Manufacturer	10		
129	Bianchi	Frame manufacturer	500	http://www.bianchi.com/	
39	Bickerton	Frame manufacturer	10		
413	Bicycle Research	Manufacturer	10		
414	Big Agnes Inc	Manufacturer	10		
1152	Big Shot	Frame manufacturer	10	http://www.bigshotbikes.com/	
415	Bike Fit Systems	Manufacturer	10		
40	Bike Friday	Frame manufacturer	10	http://bikefriday.com/	
1017	Bike Mielec	Frame manufacturer	10	http://www.bikemielec.com/	
416	Bike Ribbon	Manufacturer	10		
417	Bike-Aid	Manufacturer	10		
418	Bike-Eye	Manufacturer	10		
419	Bike-O-Vision	Manufacturer	10		
1148	Bike4Life	Frame manufacturer	10		
1100	BikeE recumbents	Frame manufacturer	10		
420	Bikes Belong	Manufacturer	10		
421	Bikeverywhere	Manufacturer	10		
41	Bilenky Cycle Works	Frame manufacturer	10	http://www.bilenky.com/Home.html	
42	Biomega	Frame manufacturer	10	http://biomega.dk/biomega.aspx	
422	BionX	Manufacturer	10		
255	Birdy	Frame manufacturer	10	http://www.birdybike.com/	
944	Biria	Frame manufacturer	10	http://www.biria.com/	
